question_id,poll_id,cycle,state,politician,pollster_id,pollster,sponsor_ids,sponsors,display_name,sample_size,poll_population,question_population,methodology,start_date,end_date,sponsor_candidate,tracking,created_at,notes,url,source,yes,no
77822,49570,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,2119,,a,Online,3/30/17,4/3/17,"",TRUE,4/4/17 14:53,,http://polling.reuters.com/#poll/CP3_2/,Reuters,46.2,49.5
77826,49570,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1834,,rv,Online,3/30/17,4/3/17,"",TRUE,4/4/17 14:54,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,47.5,49.4
77830,49570,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,598,,lv,Online,3/30/17,4/3/17,"",TRUE,4/4/17 14:54,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,48.3,49.3
77836,49576,,,Donald Trump,390,PSRAI,233,Kaiser Family Foundation,Princeton Survey Research Associates International,1203,a,a,Live Phone,3/28/17,4/3/17,"",,4/5/17 09:46,,http://files.kff.org/attachment/Topline-Kaiser-Health-Tracking-Poll-April-2017,Huffpost,41.0,55.0
77816,49565,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/31/17,4/2/17,"",TRUE,4/3/17 12:59,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,38.0,57.0
77814,49564,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,3/29/17,4/2/17,"",TRUE,4/3/17 09:35,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Huffpost | Rasmussen,42.0,58.0
77823,49571,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,2126,,a,Online,3/29/17,4/2/17,"",TRUE,4/4/17 14:53,,http://polling.reuters.com/#poll/CP3_2/,Reuters,47.4,47.3
77827,49571,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1813,,rv,Online,3/29/17,4/2/17,"",TRUE,4/4/17 14:54,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,48.6,47.9
77831,49571,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,589,,lv,Online,3/29/17,4/2/17,"",TRUE,4/4/17 14:54,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,47.3,49.6
77813,49563,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/30/17,4/1/17,"",TRUE,4/2/17 13:00,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,38.0,57.0
77837,49577,,,Donald Trump,1189,Morning Consult,538,Politico,Morning Consult,1995,rv,rv,Online,3/30/17,4/1/17,"",,4/5/17 09:46,,https://morningconsult.com/2017/04/05/things-might-worth-government-shutdown-voters-say/,Huffpost,47.0,49.0
77824,49572,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,2105,,a,Online,3/28/17,4/1/17,"",TRUE,4/4/17 14:53,,http://polling.reuters.com/#poll/CP3_2/,Reuters,47.3,46.4
77828,49572,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1783,,rv,Online,3/28/17,4/1/17,"",TRUE,4/4/17 14:54,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,48.6,47.0
77832,49572,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,558,,lv,Online,3/28/17,4/1/17,"",TRUE,4/4/17 14:54,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,45.4,50.8
77812,49562,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/29/17,3/31/17,"",TRUE,4/1/17 12:52,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,40.0,56.0
77825,49573,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,2014,,a,Online,3/27/17,3/31/17,"",TRUE,4/4/17 14:53,,http://polling.reuters.com/#poll/CP3_2/,Reuters,47.2,45.9
77829,49573,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1692,,rv,Online,3/27/17,3/31/17,"",TRUE,4/4/17 14:54,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,48.2,46.7
77833,49573,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,525,,lv,Online,3/27/17,3/31/17,"",TRUE,4/4/17 14:54,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,43.9,50.9
77799,49555,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,3/28/17,3/30/17,"",TRUE,3/31/17 09:32,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Huffpost | Rasmussen,43.0,57.0
77811,49561,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/28/17,3/30/17,"",TRUE,3/31/17 12:53,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,38.0,56.0
77801,49557,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,418,,lv,Online,3/26/17,3/30/17,"",TRUE,3/31/17 12:09,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,43.0,50.0
77804,49557,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1427,,rv,Online,3/26/17,3/30/17,"",TRUE,3/31/17 12:09,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,47.1,47.6
77807,49557,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1731,,a,Online,3/26/17,3/30/17,"",TRUE,3/31/17 12:09,,http://polling.reuters.com/#poll/CP3_2/,Reuters,45.5,46.5
77795,49551,2017,,Donald Trump,1193,SurveyMonkey,132,NBC News,SurveyMonkey,11890,a,a,Online,3/24/17,3/30/17,"",,3/30/17 10:46,,https://drive.google.com/file/d/0B83Vpfes67zfUUw4dVVaMTc2bm8/view,538 | Huffpost,44.0,56.0
77815,49551,2017,,Donald Trump,1193,SurveyMonkey,132,NBC News,SurveyMonkey,10800,a,rv,Online,3/24/17,3/30/17,"",,4/3/17 11:19,,https://drive.google.com/file/d/0B83Vpfes67zfUUw4dVVaMTc2bm8/view,538,43.0,56.0
77817,49566,,,Donald Trump,228,IBD/TIPP,375,Investor's Business Daily,IBD/TIPP,904,a,a,,3/24/17,3/30/17,"",,4/3/17 13:13,,"",538 | RCP,34.0,56.0
77793,49549,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,3/27/17,3/29/17,"",TRUE,3/30/17 09:27,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Huffpost | Rasmussen,44.0,56.0
77797,49553,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/27/17,3/29/17,"",TRUE,3/30/17 12:58,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,38.0,57.0
77798,49554,,,Donald Trump,1299,icitizen,"","",icitizen,1062,a,a,Online,3/27/17,3/29/17,"",,3/30/17 15:17,,https://icitizen.com/insights/trump-job-approval-march-27-29-2017/,Huffpost,33.0,66.0
77834,49574,2017,,Donald Trump,573,Zogby Interactive/JZ Analytics,"","",Zogby Interactive/JZ Analytics,1351,a,a,Online,3/27/17,3/29/17,"",,4/4/17 14:57,,https://www.zogbyanalytics.com/news/771-american-workers-still-support-repeal-of-obamacare-oprah-trumps-the-donald,538,40.0,53.0
77802,49558,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,430,,lv,Online,3/25/17,3/29/17,"",TRUE,3/31/17 12:09,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,40.6,51.0
77805,49558,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1380,,rv,Online,3/25/17,3/29/17,"",TRUE,3/31/17 12:09,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,45.5,48.6
77808,49558,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1692,,a,Online,3/25/17,3/29/17,"",TRUE,3/31/17 12:09,,http://polling.reuters.com/#poll/CP3_2/,Reuters,45.0,47.1
77794,49550,,,Donald Trump,383,Public Policy Polling,"","",Public Policy Polling,677,rv,rv,IVR/Online,3/27/17,3/28/17,"",,3/30/17 10:46,,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_33017.pdf,RCP | Huffpost,40.0,53.0
77787,49544,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,3/26/17,3/28/17,"",TRUE,3/29/17 11:00,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Huffpost | Rasmussen,44.0,56.0
77789,49546,,,Donald Trump,568,YouGov,352,Economist,YouGov,1500,a,a,Online,3/26/17,3/28/17,"",,3/29/17 11:08,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6xp8fd6vvl/econToplines.pdf,Huffpost,41.0,47.0
77791,49546,,,Donald Trump,568,YouGov,352,Economist,YouGov,1271,a,rv,Online,3/26/17,3/28/17,"",,3/29/17 11:09,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6xp8fd6vvl/econToplines.pdf,RCP,45.0,50.0
77792,49548,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/26/17,3/28/17,"",TRUE,3/29/17 13:33,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,35.0,59.0
77788,49545,,,Donald Trump,79,CBS News/New York Times,133,CBS News,CBS News/New York Times,1088,a,a,Live Phone,3/25/17,3/28/17,"",,3/29/17 11:08,,https://www.scribd.com/document/343392363/Cbs-Poll-7am-Toplines,RCP | Huffpost,40.0,52.0
77803,49559,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,415,,lv,Online,3/24/17,3/28/17,"",TRUE,3/31/17 12:09,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,39.0,53.0
77806,49559,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1346,,rv,Online,3/24/17,3/28/17,"",TRUE,3/31/17 12:09,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,44.3,50.1
77809,49559,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1647,,a,Online,3/24/17,3/28/17,"",TRUE,3/31/17 12:09,,http://polling.reuters.com/#poll/CP3_2/,Reuters,43.4,49.2
77772,49538,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/25/17,3/27/17,"",TRUE,3/28/17 12:58,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,36.0,56.0
77771,49537,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,3/23/17,3/27/17,"",TRUE,3/28/17 09:44,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Huffpost | Rasmussen,45.0,55.0
77773,49539,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1679,,a,Online,3/23/17,3/27/17,"",TRUE,3/28/17 14:48,,http://polling.reuters.com/#poll/CP3_2/,Reuters,44.5,48.9
77777,49539,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1374,,rv,Online,3/23/17,3/27/17,"",TRUE,3/28/17 14:48,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,44.7,50.3
77781,49539,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,447,,lv,Online,3/23/17,3/27/17,"",TRUE,3/28/17 14:48,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,41.9,51.1
77796,49552,2017,,Donald Trump,1360,National Opinion Research Center,398,AP,National Opinion Research Center,1110,a,a,Online,3/23/17,3/27/17,"",,3/30/17 11:11,,http://www.apnorc.org/PDFs/HealthCareAP/AP%20Custom%20Poll%20Topline%20MARCH_healthcare.pdf,Huffpost | 538,42.0,58.0
77800,49556,,,Donald Trump,1205,Marist College,360,McClatchy Newspapers,Marist College,906,a,rv,Live Phone,3/22/17,3/27/17,"",,3/31/17 10:38,,https://www.documentcloud.org/documents/3532285-McClatchy-Marist-Poll-National-Nature-of-the.html,RCP | Huffpost,38.0,51.0
77770,49536,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/24/17,3/26/17,"",TRUE,3/27/17 13:03,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,36.0,57.0
77769,49535,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,3/22/17,3/26/17,"",TRUE,3/27/17 09:36,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Huffpost | Rasmussen,45.0,54.0
77774,49540,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1668,,a,Online,3/22/17,3/26/17,"",TRUE,3/28/17 14:48,,http://polling.reuters.com/#poll/CP3_2/,Reuters,44.2,49.8
77778,49540,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1348,,rv,Online,3/22/17,3/26/17,"",TRUE,3/28/17 14:48,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,45.3,50.8
77782,49540,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,435,,lv,Online,3/22/17,3/26/17,"",TRUE,3/28/17 14:48,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,44.2,49.0
77790,49547,,,Donald Trump,1189,Morning Consult,538,Politico,Morning Consult,1991,rv,rv,Online,3/24/17,3/25/17,"",,3/29/17 11:08,,http://www.politico.com/story/2017/03/donald-trump-health-care-poll-236620,Huffpost,45.0,50.0
77768,49534,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/23/17,3/25/17,"",TRUE,3/26/17 13:01,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,40.0,54.0
77775,49541,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1647,,a,Online,3/21/17,3/25/17,"",TRUE,3/28/17 14:48,,http://polling.reuters.com/#poll/CP3_2/,Reuters,46.0,48.9
77779,49541,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1342,,rv,Online,3/21/17,3/25/17,"",TRUE,3/28/17 14:48,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,47.8,49.0
77783,49541,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,458,,lv,Online,3/21/17,3/25/17,"",TRUE,3/28/17 14:48,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,45.6,49.1
77767,49533,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/22/17,3/24/17,"",TRUE,3/25/17 12:55,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,41.0,54.0
77776,49542,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1678,,a,Online,3/20/17,3/24/17,"",TRUE,3/28/17 14:48,,http://polling.reuters.com/#poll/CP3_2/,Reuters,46.2,48.1
77780,49542,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1377,,rv,Online,3/20/17,3/24/17,"",TRUE,3/28/17 14:48,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,49.2,48.0
77784,49542,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,468,,lv,Online,3/20/17,3/24/17,"",TRUE,3/28/17 14:48,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,48.9,46.2
77755,49527,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,3/21/17,3/23/17,"",TRUE,3/24/17 10:11,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Huffpost | Rasmussen,44.0,56.0
77756,49528,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/21/17,3/23/17,"",TRUE,3/24/17 13:01,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,41.0,54.0
77766,49532,,,Donald Trump,1299,icitizen,"","",icitizen,1101,a,a,Online,3/20/17,3/23/17,"",,3/24/17 13:48,,https://icitizen.com/insights/trump-job-approval-march-20-23-2017/,Huffpost,37.0,62.0
77757,49529,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,498,,lv,Online,3/19/17,3/23/17,"",TRUE,3/24/17 13:48,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,52.2,43.2
77760,49529,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1701,,a,Online,3/19/17,3/23/17,"",TRUE,3/24/17 13:48,,http://polling.reuters.com/#poll/CP3_2/,Reuters,48.0,46.5
77763,49529,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1403,,rv,Online,3/19/17,3/23/17,"",TRUE,3/24/17 13:48,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,50.9,46.6
77753,49526,2017,,Donald Trump,1193,SurveyMonkey,"","",SurveyMonkey,12306,a,a,Online,3/17/17,3/23/17,"",,3/24/17 09:32,,https://drive.google.com/file/d/0B83Vpfes67zfTFpjeURVRWVKUUk/view,538,42.0,55.0
77754,49526,2017,,Donald Trump,1193,SurveyMonkey,"","",SurveyMonkey,11249,a,rv,Online,3/17/17,3/23/17,"",,3/24/17 09:32,,https://drive.google.com/file/d/0B83Vpfes67zfTFpjeURVRWVKUUk/view,538,44.0,56.0
77750,49523,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,3/20/17,3/22/17,"",TRUE,3/23/17 10:45,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Huffpost | Rasmussen,47.0,53.0
77751,49524,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/20/17,3/22/17,"",TRUE,3/23/17 13:10,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,39.0,56.0
77758,49530,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,478,,lv,Online,3/18/17,3/22/17,"",TRUE,3/24/17 13:48,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,50.8,44.7
77761,49530,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1619,,a,Online,3/18/17,3/22/17,"",TRUE,3/24/17 13:48,,http://polling.reuters.com/#poll/CP3_2/,Reuters,45.9,48.2
77764,49530,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1347,,rv,Online,3/18/17,3/22/17,"",TRUE,3/24/17 13:48,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,49.2,48.3
77744,49518,,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,,lv,IVR/Online,3/19/17,3/21/17,"",,3/22/17 10:34,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Rasmussen | Huffpost,46.0,54.0
77745,49519,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/19/17,3/21/17,"",TRUE,3/22/17 13:10,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,40.0,55.0
77747,49521,,,Donald Trump,568,YouGov,352,Economist,YouGov,1500,a,a,Online,3/19/17,3/21/17,"",,3/22/17 13:30,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9atsoe30n9/econToplines.pdf,Huffpost,41.0,46.0
77748,49521,,,Donald Trump,568,YouGov,352,Economist,YouGov,1296,a,rv,Online,3/19/17,3/21/17,"",,3/22/17 13:31,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9atsoe30n9/econToplines.pdf,RCP,44.0,49.0
77759,49531,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,479,,lv,Online,3/17/17,3/21/17,"",TRUE,3/24/17 13:48,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,48.9,47.9
77762,49531,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1609,,a,Online,3/17/17,3/21/17,"",TRUE,3/24/17 13:48,,http://polling.reuters.com/#poll/CP3_2/,Reuters,46.3,47.7
77765,49531,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1362,,rv,Online,3/17/17,3/21/17,"",TRUE,3/24/17 13:48,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,49.3,48.2
77749,49522,2017,,Donald Trump,396,Quinnipiac University,"","",Quinnipiac University,1056,rv,rv,Live Phone,3/16/17,3/21/17,"",,3/22/17 13:50,,https://poll.qu.edu/images/polling/us/us03222017_Upt839fm.pdf/,RCP | Huffpost | 538,37.0,56.0
77728,49510,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/18/17,3/20/17,"",TRUE,3/21/17 13:02,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,39.0,56.0
77727,49509,,,Donald Trump,23,American Research Group,"","",American Research Group,1100,a,a,Live Phone,3/17/17,3/20/17,"",,3/21/17 12:28,,http://americanresearchgroup.com/economy/,Huffpost,41.0,54.0
77726,49508,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,3/16/17,3/20/17,"",TRUE,3/21/17 10:56,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Huffpost | Rasmussen,50.0,50.0
77730,49512,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,486,,lv,Online,3/16/17,3/20/17,"",TRUE,3/22/17 09:54,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,48.7,47.6
77734,49512,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1581,,a,Online,3/16/17,3/20/17,"",TRUE,3/22/17 09:54,,http://polling.reuters.com/#poll/CP3_2/,Reuters,45.7,48.0
77735,49512,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1347,,rv,Online,3/16/17,3/20/17,"",TRUE,3/22/17 09:54,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,48.7,48.1
77725,49507,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/17/17,3/19/17,"",TRUE,3/20/17 13:05,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Gallup,39.0,55.0
77742,49516,,,Donald Trump,1189,Morning Consult,538,Politico,Morning Consult,1927,rv,rv,Online,3/16/17,3/19/17,"",,3/22/17 09:57,,http://www.politico.com/story/2017/03/republicans-obamacare-repeal-support-236331,Huffpost,50.0,44.0
77724,49506,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,3/15/17,3/19/17,"",TRUE,3/20/17 10:02,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Rasmussen,49.0,51.0
77731,49513,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,488,,lv,Online,3/15/17,3/19/17,"",TRUE,3/22/17 09:54,,http://polling.reuters.com/#poll/CP3_2/filters/LIKELY:1,Reuters,47.7,48.6
77736,49513,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1354,,rv,Online,3/15/17,3/19/17,"",TRUE,3/22/17 09:54,,http://polling.reuters.com/#poll/CP3_2/filters/PD1:1,Reuters,47.8,48.5
77738,49513,2017,,Donald Trump,744,Ipsos,71,Reuters,Ipsos,1590,,a,Online,3/15/17,3/19/17,"",TRUE,3/22/17 09:54,,http://polling.reuters.com/#poll/CP3_2/,Reuters,44.8,49.2
77723,49505,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,3/16/17,3/18/17,"",TRUE,3/19/17 15:09,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Gallup,37.0,58.0
